nom_bassin_versant,latitude_centroide,longitude_centroide,quantile_prelevement_national,score_secheresse,classe_secheresse,classe_prelevement,classe_bivariee,volume_moyen_preleve_m3_an,nb_communes,rang_secheresse_national
L'Aurette de sa source au confluent de l'Aure (exclu),49.1657,-0.7658,8.13,0.0,faible/nulle,faible,0-0,0.0,3,0.0
L'Algot de sa source au confluent de la Vie (exclu),49.1248,0.074,8.13,0.0,faible/nulle,faible,0-0,0.0,3,0.0
La Courtonne de sa source au confluent du ruisseau de Courtonnel (exclu),49.0888,0.3962,8.13,0.0,faible/nulle,faible,0-0,0.0,3,0.0
Le ruisseau de Malval de sa source au confluent de l'Ornain (exclu),48.7229,5.3626,38.97,0.0,faible/nulle,modere,0-1,162953.6,3,0.0
La Touques du confluent du ruisseau Crevier (exclu) au confluent du ruisseau de Lecange (inclus),49.0479,0.255,50.41,0.0,faible/nulle,modere,0-1,351130.8,3,0.0
La Soulles de sa source au confluent du ruisseau de la Girardière (inclus),48.9534,-1.1799,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
La Bièvre du confluent du ruisseau de Vauhallan (exclu) au confluent du ruisseau de Rungis (inclus),48.7445,2.2769,25.38,0.0,faible/nulle,faible,0-0,43646.8,5,0.0
La Touques du confluent du ruisseau de Chaumont (exclu) au confluent du Bourgel (exclu),48.8952,0.2855,16.27,0.0,faible/nulle,faible,0-0,0.2,2,0.0
Le Trainefeuille de sa source au confluent de la Dives (exclu),48.8757,-0.1441,23.75,0.0,faible/nulle,faible,0-0,34609.4,4,0.0
L'Orne du confluent du Don (exclu) au confluent de l'Ure (exclu),48.7147,0.0484,73.49,0.0,faible/nulle,fort,0-2,1524815.2,3,0.0
La Baize de sa source au confluent de la Bilaine (inclus),48.8074,-0.2004,16.71,0.0,faible/nulle,faible,0-0,1462.0,4,0.0
L'Argonce de sa source au confluent de la Sélune (exclu),48.637,-1.0475,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
